ts,in_queue (size), in_queue (number)
1530634685.789149510,16720,7
1530634685.801922333,15206,7
1530634685.814593448,15206,7
1530634685.827570958,12178,6
1530634685.840263013,10664,5
1530634685.853055974,10664,5
1530634685.865999913,7636,4
1530634685.878764672,7636,4
1530634685.891650092,7570,3
1530634685.904438838,10598,4
1530634685.917108370,7570,3
1530634685.930061984,9084,3
1530634685.942920038,12112,4
1530634685.955772449,9084,3
1530634685.968459560,12112,4
1530634685.981274024,12112,4
1530634685.994204873,9084,3
1530634686.006979510,9084,3
1530634686.019739946,6056,2
1530634686.032495933,6056,2
1530634686.045312472,4542,2
1530634686.057978305,6056,3
1530634686.070745664,7570,4
1530634686.083731339,6056,3
1530634686.096406367,7570,3
1530634686.109139097,6056,2
1530634686.121997042,9084,3
1530634686.134806976,9084,3
1530634686.147654850,9084,3
1530634686.160491736,7570,3
1530634686.173154127,9084,4
1530634686.186054152,7570,4
1530634686.198956675,6056,4
1530634686.211669500,7570,5
1530634686.224664109,7570,5
1530634686.237541836,7570,5
1530634686.250256748,7570,5
1530634686.262890098,7636,6
1530634686.275748067,7636,6
1530634686.288575853,7636,6
1530634686.301464541,7636,6
1530634686.314196263,7570,5
1530634686.327109070,9084,5
1530634686.339832633,7570,4
1530634686.352568893,9084,4
1530634686.365483025,7570,3
1530634686.378298402,7570,3
1530634686.391010966,9084,4
1530634686.403829990,6056,3
1530634686.416489365,6056,3
1530634686.429275342,7570,4
1530634686.442191284,4542,3
1530634686.454986619,4542,3
1530634686.467788225,4542,3
1530634686.480729912,4542,3
1530634686.493517268,6056,4
1530634686.506364496,6056,4
1530634686.519275155,6056,4
1530634686.531966254,6056,4
1530634686.544810730,6056,4
1530634686.557661020,6056,4
1530634686.570510009,7570,5
1530634686.583275790,7570,5
1530634686.595984862,7570,5
1530634686.608940625,9084,6
1530634686.621593323,9084,6
1530634686.634417480,9084,6
1530634686.647371818,7570,5
1530634686.660069646,7570,5
1530634686.672733621,7570,5
1530634686.685524138,7570,5
1530634686.698543702,7570,5
1530634686.711410317,7570,5
1530634686.724085627,9084,6
1530634686.736863558,10598,6
1530634686.749700324,12112,6
1530634686.762622387,10598,5
1530634686.775534537,12112,5
1530634686.788429031,10598,4
1530634686.801298010,9084,3
1530634686.813980639,9084,3
1530634686.826791704,6056,2
1530634686.839590286,6056,2
1530634686.852317931,4542,2
1530634686.865025810,6056,3
1530634686.877734873,3028,2
1530634686.890471774,4542,3
1530634686.903406054,4608,4
1530634686.916058091,4608,4
1530634686.928870135,4608,4
1530634686.941548344,6056,4
1530634686.954428112,6056,4
1530634686.967414609,6056,4
1530634686.980102589,6056,4
1530634686.992972240,4542,3
1530634687.005638379,3028,2
1530634687.018442171,3028,2
1530634687.031478378,3028,2
1530634687.044143754,3028,2
1530634687.056787096,3028,2
1530634687.069489125,3028,2
1530634687.082166510,4542,3
1530634687.095194008,4542,3
1530634687.108092397,4542,3
1530634687.120953986,3028,2
1530634687.133741903,3028,2
1530634687.146592054,4542,3
1530634687.159349944,4542,3
1530634687.172005402,4542,3
1530634687.184792172,4542,3
1530634687.197414983,6056,3
1530634687.210312543,6056,3
1530634687.222976467,9084,4
1530634687.235921645,7570,4
1530634687.248591449,6056,3
1530634687.261500808,6056,3
1530634687.274447583,7570,4
1530634687.287391135,7570,5
1530634687.300397777,7570,5
1530634687.313209322,7570,5
1530634687.325932494,7570,5
1530634687.338802341,6056,4
1530634687.351571318,7570,4
1530634687.364494547,9084,4
1530634687.377316067,10598,4
1530634687.389939311,12112,4
1530634687.402688986,12112,4
1530634687.415480982,12112,4
1530634687.428356698,15140,5
1530634687.441133315,15140,5
1530634687.453990294,18168,6
1530634687.466673915,15140,5
1530634687.479590818,15140,5
1530634687.492253927,15140,5
1530634687.505006388,18168,6
1530634687.517751640,18168,6
1530634687.530581700,18168,6
1530634687.543398133,18168,6
1530634687.556135936,18168,6
1530634687.569009897,15140,5
1530634687.581818734,12112,4
1530634687.594675216,12112,4
1530634687.607425109,12112,4
1530634687.620108248,15140,5
1530634687.632936226,15140,5
1530634687.645634658,15140,5
1530634687.658469977,15140,5
1530634687.671420028,18168,6
1530634687.684423510,15140,5
1530634687.697090384,15140,5
1530634687.710017548,12112,4
1530634687.722776695,12112,4
1530634687.735663198,12112,4
1530634687.748504182,12112,4
1530634687.761236239,12112,4
1530634687.774141863,15140,5
1530634687.787038680,15140,5
1530634687.799833840,12112,4
1530634687.812521145,12112,4
1530634687.825195461,9084,3
1530634687.838006341,12112,4
1530634687.850728042,12112,4
1530634687.863631855,15140,5
1530634687.876313884,15140,5
1530634687.888997158,15140,5
1530634687.901941376,15140,5
1530634687.914781501,15140,5
1530634687.927628820,12112,4
1530634687.940471789,12112,4
1530634687.953095555,10598,4
1530634687.965740420,12112,5
1530634687.978411032,12112,5
1530634687.991292222,15140,6
1530634688.003952789,12112,5
1530634688.016793607,12112,5
1530634688.029578619,10598,4
1530634688.042458491,12112,4
1530634688.055441046,15140,5
1530634688.068117889,15140,5
1530634688.080809244,15140,5
1530634688.093417982,15140,5
1530634688.106302108,15140,5
1530634688.119146485,12112,4
1530634688.131952707,12112,4
1530634688.144614703,12112,4
1530634688.157327843,15140,5
1530634688.170179943,15140,5
1530634688.182982965,18168,6
1530634688.195786241,15140,5
1530634688.208555199,15140,5
1530634688.221535236,15140,5
1530634688.234488943,18168,6
1530634688.247289637,15140,5
1530634688.259919522,12112,4
1530634688.272636450,12112,4
1530634688.285291766,9084,3
1530634688.298070433,9084,3
1530634688.310981361,7570,3
1530634688.323816571,9084,4
1530634688.336489840,6056,3
1530634688.349188626,7570,4
1530634688.361994737,6056,4
1530634688.374713568,7570,4
1530634688.387591951,9084,4
1530634688.400409810,12112,5
1530634688.413123802,9150,5
1530634688.425774925,10664,5
1530634688.438622088,12178,5
1530634688.451405145,12178,5
1530634688.464030596,9150,4
1530634688.476892317,9150,4
1530634688.489623032,9150,5
1530634688.502302252,7570,4
1530634688.515133367,9084,5
1530634688.527857289,6056,4
1530634688.540585229,4542,3
1530634688.553310803,6056,4
1530634688.566044612,6056,4
1530634688.578750601,6056,4
1530634688.591626998,6056,4
1530634688.604412742,6056,4
1530634688.617091925,7570,5
1530634688.629868031,7570,5
1530634688.642700580,7570,5
1530634688.655554728,7570,5
1530634688.668339176,9084,5
1530634688.681383344,10598,5
1530634688.694069360,9084,4
1530634688.706817853,10598,4
1530634688.719576244,13626,5
1530634688.732273681,12112,4
1530634688.745079030,12112,4
1530634688.758006063,9084,3
1530634688.770761027,9084,3
1530634688.783554024,7570,3
1530634688.796464377,9084,4
1530634688.809373680,7570,4
1530634688.822277595,9084,5
1530634688.835199316,7570,5
1530634688.847896216,7570,5
1530634688.860606922,7570,5
1530634688.873240283,9084,6
1530634688.886109745,9084,6
1530634688.898825855,9084,6
1530634688.911565921,9084,6
1530634688.924497749,9084,6
1530634688.937234258,10598,7
1530634688.950073269,7570,5
1530634688.962834971,9150,6
1530634688.975581826,7636,5
1530634688.988398651,10664,6
1530634689.001046418,9150,5
1530634689.013913296,10598,4
1530634689.026788875,12112,4
1530634689.039536511,12112,4
1530634689.052166013,10598,4
1530634689.065019623,10598,4
1530634689.077852858,7570,3
1530634689.090668678,9084,4
1530634689.103667388,7570,4
1530634689.116280280,9084,5
1530634689.128909223,9084,6
1530634689.141624687,9084,6
1530634689.154438836,9084,6
1530634689.167428418,9084,6
1530634689.180125511,9084,6
1530634689.192899772,6056,4
1530634689.205738370,4542,3
1530634689.218663405,4542,3
1530634689.231463142,4542,3
1530634689.244174139,7570,4
1530634689.256871009,6056,3
1530634689.269581399,7570,3
1530634689.282326026,9084,3
1530634689.295053970,12112,4
1530634689.307903889,9084,3
1530634689.320588491,12112,4
1530634689.333452168,9084,3
1530634689.346167765,9084,3
1530634689.358915212,7570,3
1530634689.371685878,9084,4
1530634689.384400742,7570,4
1530634689.397120308,7570,4
1530634689.410064478,9084,5
1530634689.423112183,6056,4
1530634689.435833008,6056,4
1530634689.448607091,6056,4
1530634689.461284608,6056,4
1530634689.474075552,6056,4
1530634689.486896452,7570,4
1530634689.499816557,6056,3
1530634689.512535069,9084,4
1530634689.525473765,7636,4
1530634689.538258420,10664,5
1530634689.551016197,10664,5
1530634689.563835777,10664,5
1530634689.576656649,13692,6
1530634689.589487802,10598,4
1530634689.602251756,13626,5
1530634689.615158669,13626,5
1530634689.627917344,13626,5
1530634689.640591765,13626,5
1530634689.653421637,13626,5
1530634689.666350867,13626,5
1530634689.679413380,12112,5
1530634689.692157911,15140,6
1530634689.704847907,13626,6
1530634689.717524903,15140,6
1530634689.730459217,16654,7
1530634689.743242820,13626,6
1530634689.755897926,13626,6
1530634689.768655152,10598,5
1530634689.781387345,13626,6
1530634689.794191091,10598,5
1530634689.807140486,12112,5
1530634689.819872211,12112,5
1530634689.832882714,13626,5
1530634689.845621303,13626,5
1530634689.858356781,15140,6
1530634689.871021394,13626,5
1530634689.883843862,12112,5
1530634689.896615225,15140,6
1530634689.909410699,12112,5
1530634689.922175487,15140,6
1530634689.935098677,15140,6
1530634689.947898326,13626,5
1530634689.960761074,15140,6
1530634689.973630659,12112,5
1530634689.986467735,13626,5
1530634689.999307977,13626,5
1530634690.012057977,10598,4
1530634690.024817773,10598,4
1530634690.037661558,10664,5
1530634690.050610731,13692,6
1530634690.063602162,10664,5
1530634690.076433233,12178,5
1530634690.089035771,15206,6
1530634690.101750499,12112,4
1530634690.114520573,12112,4
1530634690.127506986,15140,5
1530634690.140239554,12112,4
1530634690.153033649,15140,5
1530634690.165760627,12112,4
1530634690.178469905,15140,5
1530634690.191315163,12112,4
1530634690.204297830,12112,4
1530634690.217175474,12112,4
1530634690.230149007,12112,4
1530634690.243129619,12112,4
1530634690.255931556,15140,5
1530634690.268601797,12112,4
1530634690.281271933,15140,5
1530634690.294059287,15140,5
1530634690.306841165,15140,5
1530634690.319524156,12112,4
1530634690.332484227,9084,3
1530634690.345507367,12112,4
1530634690.358469875,9084,3
1530634690.371315114,9084,3
1530634690.384057884,9084,3
1530634690.396712870,9084,3
1530634690.409493888,9084,3
1530634690.422217298,12112,4
1530634690.434949927,9084,3
1530634690.447876001,12112,4
1530634690.460697463,10598,4
1530634690.473497424,12112,5
1530634690.486304747,10598,5
1530634690.499269695,12112,6
1530634690.511894884,9084,5
1530634690.524708863,10598,6
1530634690.537412430,9084,6
1530634690.550160224,10598,6
1530634690.563051977,10598,5
1530634690.575808396,9084,4
1530634690.588531376,9084,4
1530634690.601248144,7570,4
1530634690.613924572,7570,4
1530634690.626801773,7570,4
1530634690.639663011,9084,5
1530634690.652547098,7570,5
1530634690.665202018,7570,5
1530634690.678044244,9084,6
1530634690.690782447,9084,6
1530634690.703539170,7570,5
