ts,backlog in bytes, backlog in packets
1529798307.738879564,660b,10p
1529798307.751458535,594b,9p
1529798307.763969321,594b,9p
1529798307.776341167,660b,10p
1529798307.788924200,594b,9p
1529798307.801322754,660b,10p
1529798307.813888579,594b,9p
1529798307.826634611,594b,9p
1529798307.839475473,726b,11p
1529798307.852105333,594b,9p
1529798307.864745710,594b,9p
1529798307.877289180,594b,9p
1529798307.889785525,660b,10p
1529798307.902269825,594b,9p
1529798307.914853923,594b,9p
1529798307.927612175,594b,9p
1529798307.940279257,594b,9p
1529798307.952858542,726b,11p
1529798307.965431569,594b,9p
1529798307.977987867,528b,8p
1529798307.990442998,594b,9p
1529798308.002992282,660b,10p
1529798308.015626165,594b,9p
1529798308.028050829,594b,9p
1529798308.040561692,594b,9p
1529798308.052911887,594b,9p
1529798308.065307008,594b,9p
1529798308.078015828,660b,10p
1529798308.090469247,594b,9p
1529798308.102963357,660b,10p
1529798308.115664476,594b,9p
1529798308.128190365,660b,10p
1529798308.140824935,594b,9p
1529798308.153358473,594b,9p
1529798308.165896055,594b,9p
1529798308.178378749,660b,10p
1529798308.190966512,594b,9p
1529798308.203566475,594b,9p
1529798308.216226322,660b,10p
1529798308.228799972,594b,9p
1529798308.241353876,594b,9p
1529798308.253941573,594b,9p
1529798308.266537884,528b,8p
1529798308.279133273,594b,9p
1529798308.291709311,660b,10p
1529798308.304284766,594b,9p
1529798308.316733594,660b,10p
1529798308.329342228,594b,9p
1529798308.341769849,594b,9p
1529798308.354377973,594b,9p
1529798308.367035166,660b,10p
1529798308.379733658,594b,9p
1529798308.392099028,528b,8p
1529798308.404796463,594b,9p
1529798308.417342166,660b,10p
1529798308.429957906,594b,9p
1529798308.442541922,594b,9p
1529798308.455072071,594b,9p
1529798308.467687592,660b,10p
1529798308.480163815,660b,10p
1529798308.492658152,594b,9p
1529798308.505202543,594b,9p
1529798308.517764753,594b,9p
1529798308.530413030,660b,10p
1529798308.543090046,594b,9p
1529798308.555639931,528b,8p
1529798308.568270431,594b,9p
1529798308.580763481,660b,10p
1529798308.593308847,594b,9p
1529798308.605989175,594b,9p
1529798308.618598093,594b,9p
1529798308.631214307,594b,9p
1529798308.643727415,660b,10p
1529798308.656296157,594b,9p
1529798308.668944217,594b,9p
1529798308.681344843,594b,9p
1529798308.693913431,726b,11p
1529798308.706321674,594b,9p
1529798308.718813225,594b,9p
1529798308.731562110,594b,9p
1529798308.744005271,594b,9p
1529798308.756423633,594b,9p
1529798308.768899988,660b,10p
1529798308.781342398,660b,10p
1529798308.793722436,594b,9p
1529798308.806389706,528b,8p
1529798308.818947413,594b,9p
1529798308.831503749,660b,10p
1529798308.844024249,594b,9p
1529798308.856499945,594b,9p
1529798308.869094838,594b,9p
1529798308.881698194,660b,10p
1529798308.894176949,594b,9p
1529798308.906675875,594b,9p
1529798308.919481057,594b,9p
1529798308.932159728,594b,9p
1529798308.944582498,660b,10p
1529798308.957197890,594b,9p
1529798308.969759994,594b,9p
1529798308.982425880,660b,10p
1529798308.994977354,660b,10p
1529798309.007514009,594b,9p
1529798309.020187795,660b,10p
1529798309.032704177,594b,9p
1529798309.045170418,660b,10p
1529798309.057827498,660b,10p
1529798309.070464596,594b,9p
1529798309.083101208,594b,9p
1529798309.095836683,594b,9p
1529798309.108252574,660b,10p
1529798309.120711044,594b,9p
1529798309.133249667,594b,9p
1529798309.145628650,594b,9p
1529798309.158189814,726b,11p
1529798309.170809014,594b,9p
1529798309.183405630,660b,10p
1529798309.195905087,594b,9p
1529798309.208324148,594b,9p
1529798309.220756909,594b,9p
1529798309.233370579,594b,9p
1529798309.246005668,594b,9p
1529798309.258705318,528b,8p
1529798309.271166249,660b,10p
1529798309.283761946,660b,10p
1529798309.296160373,594b,9p
1529798309.308648996,660b,10p
1529798309.321201359,594b,9p
1529798309.333834135,660b,10p
1529798309.346410782,594b,9p
1529798309.359081045,594b,9p
1529798309.371641833,594b,9p
1529798309.384296024,594b,9p
1529798309.396716322,594b,9p
1529798309.409087577,660b,10p
1529798309.421522055,594b,9p
1529798309.434019559,660b,10p
1529798309.446764954,594b,9p
1529798309.459472231,726b,11p
1529798309.472151350,726b,11p
1529798309.484816361,594b,9p
1529798309.497535601,660b,10p
1529798309.510145340,660b,10p
1529798309.522677266,594b,9p
1529798309.535307572,594b,9p
1529798309.547920342,594b,9p
1529798309.560432691,660b,10p
1529798309.572913518,594b,9p
1529798309.585427713,594b,9p
1529798309.597897333,594b,9p
1529798309.610573302,660b,10p
1529798309.623114632,594b,9p
1529798309.635652911,660b,10p
1529798309.648168557,594b,9p
1529798309.660645640,660b,10p
1529798309.673333513,594b,9p
1529798309.685812262,594b,9p
1529798309.698292264,594b,9p
1529798309.710994882,528b,8p
1529798309.723472295,594b,9p
1529798309.736029803,594b,9p
1529798309.748589140,594b,9p
1529798309.761111134,726b,11p
1529798309.773708436,594b,9p
1529798309.786340729,594b,9p
1529798309.798805040,594b,9p
1529798309.811275471,660b,10p
1529798309.823728970,594b,9p
1529798309.836303950,528b,8p
1529798309.848821892,594b,9p
1529798309.861209085,594b,9p
1529798309.873695094,660b,10p
1529798309.886362463,660b,10p
1529798309.898913042,594b,9p
1529798309.911697675,594b,9p
1529798309.924197094,594b,9p
1529798309.936768179,660b,10p
1529798309.949268947,660b,10p
1529798309.961897266,528b,8p
1529798309.974392029,660b,10p
1529798309.986927039,660b,10p
1529798309.999659927,594b,9p
1529798310.012272545,660b,10p
1529798310.024967798,660b,10p
1529798310.037415166,594b,9p
1529798310.050075662,594b,9p
1529798310.062745032,594b,9p
1529798310.075414591,660b,10p
1529798310.088034821,726b,11p
1529798310.100429507,594b,9p
1529798310.112975603,594b,9p
1529798310.125385986,528b,8p
1529798310.137844568,726b,11p
1529798310.150409760,726b,11p
1529798310.163076170,594b,9p
1529798310.175792370,594b,9p
1529798310.188539538,660b,10p
1529798310.201154277,660b,10p
1529798310.213639144,660b,10p
1529798310.226090182,594b,9p
1529798310.238788055,660b,10p
1529798310.251406411,594b,9p
1529798310.263971781,594b,9p
1529798310.276597747,660b,10p
1529798310.289001304,594b,9p
1529798310.301581419,594b,9p
1529798310.314065250,660b,10p
1529798310.326806834,528b,8p
1529798310.339402299,594b,9p
1529798310.352048796,660b,10p
1529798310.364518194,594b,9p
1529798310.377075602,594b,9p
1529798310.389740099,660b,10p
1529798310.402271754,726b,11p
1529798310.414913863,726b,11p
1529798310.427460919,594b,9p
1529798310.440087286,594b,9p
1529798310.452615401,726b,11p
1529798310.465234491,594b,9p
1529798310.477768571,594b,9p
1529798310.490354766,528b,8p
1529798310.503001684,594b,9p
1529798310.515684380,660b,10p
1529798310.528105850,594b,9p
1529798310.540692209,594b,9p
1529798310.553250020,594b,9p
1529798310.565917596,726b,11p
1529798310.578595893,660b,10p
1529798310.591310967,594b,9p
1529798310.604028174,660b,10p
1529798310.616415351,594b,9p
1529798310.628855595,660b,10p
1529798310.641247486,594b,9p
1529798310.653848030,660b,10p
1529798310.666541210,594b,9p
1529798310.679114415,660b,10p
1529798310.691880350,594b,9p
1529798310.704496434,594b,9p
1529798310.717104511,594b,9p
1529798310.729770099,594b,9p
1529798310.742472085,594b,9p
1529798310.755052503,594b,9p
1529798310.767589494,660b,10p
1529798310.780127660,594b,9p
1529798310.792761709,594b,9p
1529798310.805232618,594b,9p
1529798310.817835017,594b,9p
1529798310.830344956,660b,10p
1529798310.842988913,594b,9p
1529798310.855728976,528b,8p
1529798310.868125196,594b,9p
1529798310.880724127,594b,9p
1529798310.893178156,132b,2p
1529798310.905560515,132b,2p
1529798310.918031153,0b,0p
1529798310.930521924,132b,2p
1529798310.943206362,0b,0p
1529798310.955785276,132b,2p
1529798310.968241113,132b,2p
1529798310.980687471,0b,0p
1529798310.993089291,132b,2p
1529798311.005516797,0b,0p
