ts,in_queue(size), in_queue(number)
1530220407.102107727,330,5
1530220407.114859846,396,6
1530220407.127600039,396,6
1530220407.140292050,396,6
1530220407.152940414,330,5
1530220407.165485520,330,5
1530220407.178152282,264,4
1530220407.190890485,330,5
1530220407.203515909,462,7
1530220407.216091853,330,5
1530220407.228652596,264,4
1530220407.241239344,264,4
1530220407.253886642,396,6
1530220407.266613197,264,4
1530220407.279485080,264,4
1530220407.292105201,330,5
1530220407.304752511,264,4
1530220407.317377095,264,4
1530220407.330086603,330,5
1530220407.342819032,330,5
1530220407.355533289,264,4
1530220407.368142587,330,5
1530220407.380785935,330,5
1530220407.393498342,330,5
1530220407.406045110,330,5
1530220407.418750809,330,5
1530220407.431447982,330,5
1530220407.444152526,264,4
1530220407.456726165,330,5
1530220407.469283507,264,4
1530220407.481790735,396,6
1530220407.494655898,330,5
1530220407.507535061,264,4
1530220407.520214207,264,4
1530220407.532896274,330,5
1530220407.545626003,264,4
1530220407.558384249,396,6
1530220407.570999650,330,5
1530220407.583670729,396,6
1530220407.596268440,396,6
1530220407.608999506,330,5
1530220407.621593124,330,5
1530220407.634346830,330,5
1530220407.647063611,264,4
1530220407.659808520,396,6
1530220407.672275665,330,5
1530220407.684807424,330,5
1530220407.697518460,396,6
1530220407.710088657,330,5
1530220407.722795959,330,5
1530220407.735540213,396,6
1530220407.748178768,264,4
1530220407.760923167,330,5
1530220407.773590969,264,4
1530220407.786450677,396,6
1530220407.799279259,330,5
1530220407.812027820,330,5
1530220407.824615009,264,4
1530220407.837291567,330,5
1530220407.849800013,264,4
1530220407.862430526,264,4
1530220407.875028591,396,6
1530220407.887651379,330,5
1530220407.900333579,330,5
1530220407.912983708,330,5
1530220407.925610762,330,5
1530220407.938280077,264,4
1530220407.950948994,264,4
1530220407.963608928,330,5
1530220407.976223183,264,4
1530220407.988968982,264,4
1530220408.001652046,330,5
1530220408.014471671,264,4
1530220408.027373570,330,5
1530220408.040143356,330,5
1530220408.052824277,264,4
1530220408.065324492,264,4
1530220408.078059639,330,5
1530220408.090765895,264,4
1530220408.103562079,264,4
1530220408.116220712,330,5
1530220408.138401802,330,5
1530220408.151135656,234,3
1530220408.164053025,0,0
1530220408.176686929,0,0
1530220408.189866711,660,10
1530220408.202333603,528,8
1530220408.215056203,792,12
1530220408.227536493,594,9
1530220408.239831026,660,10
1530220408.252209049,660,10
1530220408.264806977,594,9
1530220408.277192950,594,9
1530220408.289770347,594,9
1530220408.302269977,594,9
1530220408.314739359,594,9
1530220408.327171631,594,9
1530220408.339783697,528,8
1530220408.352365410,660,10
1530220408.364713639,726,11
1530220408.377042034,396,6
1530220408.389385807,726,11
1530220408.401733124,594,9
1530220408.414344523,396,6
1530220408.426915221,726,11
1530220408.439407073,462,7
1530220408.451875792,726,11
1530220408.464246898,396,6
1530220408.476550910,528,8
1530220408.488820161,726,11
1530220408.501284472,594,9
1530220408.513869342,792,12
1530220408.526334089,396,6
1530220408.538891711,528,8
1530220408.551582504,726,11
1530220408.563870931,462,7
1530220408.576183274,726,11
1530220408.588488226,462,7
1530220408.600718081,396,6
1530220408.613111677,726,11
1530220408.625276195,528,8
1530220408.637502341,660,10
1530220408.649707917,396,6
1530220408.662034856,660,10
1530220408.674263680,660,10
1530220408.686716208,594,9
1530220408.699315337,726,11
1530220408.711679721,528,8
1530220408.723825376,594,9
1530220408.736236503,726,11
1530220408.748702243,594,9
1530220408.760923808,792,12
1530220408.773262493,462,7
1530220408.785649771,594,9
1530220408.797959730,726,11
1530220408.810472879,462,7
1530220408.822845901,660,10
1530220408.835111168,528,8
1530220408.847626744,528,8
1530220408.859825023,726,11
1530220408.872094232,462,7
1530220408.884273985,726,11
1530220408.896442666,528,8
1530220408.908724650,396,6
1530220408.921140013,726,11
1530220408.933596125,462,7
1530220408.945974933,726,11
1530220408.958375798,594,9
1530220408.970632637,396,6
1530220408.982934317,726,11
1530220408.995221179,396,6
1530220409.007700564,594,9
1530220409.020035305,594,9
1530220409.032254113,330,5
1530220409.044500548,660,10
1530220409.056830371,330,5
1530220409.069048471,660,10
1530220409.081365342,594,9
1530220409.093647721,396,6
1530220409.105853540,726,11
1530220409.118269989,528,8
1530220409.130608715,792,12
1530220409.142900332,462,7
1530220409.155109765,528,8
1530220409.167313941,726,11
1530220409.179535529,528,8
1530220409.191705101,858,13
1530220409.204096442,528,8
1530220409.216470073,528,8
1530220409.228665881,660,10
1530220409.240945426,594,9
1530220409.253186082,660,10
1530220409.265366769,396,6
1530220409.277557312,594,9
1530220409.289795790,528,8
1530220409.302008270,726,11
1530220409.314376402,792,12
1530220409.326677788,528,8
1530220409.338939914,660,10
1530220409.351421818,528,8
1530220409.363672231,726,11
1530220409.375967207,858,13
1530220409.388102374,594,9
1530220409.400355817,726,11
1530220409.412587906,528,8
1530220409.424951471,858,13
1530220409.437395678,726,11
1530220409.449585583,594,9
1530220409.461825934,726,11
1530220409.474264013,594,9
1530220409.486774755,660,10
1530220409.499123258,726,11
1530220409.511425847,396,6
1530220409.523874290,792,12
1530220409.536150231,330,5
1530220409.548331072,726,11
1530220409.560521932,462,7
1530220409.572698464,594,9
1530220409.585121901,594,9
1530220409.597324142,462,7
1530220409.609583835,726,11
1530220409.621952053,462,7
1530220409.634193081,660,10
1530220409.646398345,594,9
1530220409.658677462,528,8
1530220409.670937887,660,10
1530220409.683223412,396,6
1530220409.695505063,660,10
1530220409.707960558,528,8
1530220409.720291025,330,5
1530220409.732483067,924,14
1530220409.744669372,462,7
1530220409.756953807,858,13
1530220409.769244588,528,8
1530220409.781567403,462,7
1530220409.793832139,792,12
1530220409.806174325,528,8
1530220409.818493004,858,13
1530220409.830935065,594,9
1530220409.843349211,462,7
1530220409.855767385,726,11
1530220409.868060961,594,9
1530220409.880499963,726,11
1530220409.893018668,594,9
1530220409.905211234,528,8
1530220409.917675963,660,10
1530220409.930101976,660,10
1530220409.942526515,726,11
1530220409.954858060,462,7
1530220409.967318874,660,10
1530220409.979674875,594,9
1530220409.991994641,462,7
1530220410.004229435,660,10
1530220410.016729718,528,8
1530220410.028992101,594,9
1530220410.041183295,660,10
1530220410.053439984,528,8
1530220410.065881418,594,9
1530220410.078205230,528,8
1530220410.090716234,660,10
1530220410.103108292,594,9
1530220410.115553842,528,8
1530220410.127838895,660,10
1530220410.140334005,528,8
1530220410.152730003,594,9
1530220410.164926557,594,9
1530220410.177300367,462,7
1530220410.189637903,594,9
1530220410.201913258,462,7
1530220410.214282252,462,7
1530220410.226605712,528,8
1530220410.239143281,528,8
1530220410.251503157,594,9
1530220410.263735405,528,8
1530220410.276005231,594,9
1530220410.288429821,396,6
1530220410.300953637,528,8
1530220410.313308838,462,7
1530220410.325662604,462,7
1530220410.338018309,528,8
1530220410.350286465,528,8
1530220410.362582157,462,7
1530220410.374927922,528,8
1530220410.387444477,462,7
1530220410.399742431,396,6
1530220410.412032636,462,7
1530220410.424552370,396,6
1530220410.437025508,462,7
1530220410.449284079,462,7
1530220410.461530582,462,7
1530220410.473957607,462,7
1530220410.486320315,462,7
1530220410.498674693,528,8
1530220410.511200305,462,7
1530220410.523716727,528,8
1530220410.536086091,396,6
1530220410.548412084,462,7
1530220410.560866317,462,7
1530220410.573337003,396,6
1530220410.585647885,396,6
1530220410.598181028,396,6
1530220410.610941722,396,6
1530220410.646808867,330,5
1530220410.665231407,462,7
1530220410.682413051,396,6
1530220410.695004075,396,6
1530220410.707319821,462,7
1530220410.719911008,330,5
1530220410.732244909,462,7
1530220410.744707893,330,5
1530220410.757106336,396,6
1530220410.769345634,462,7
1530220410.781854832,330,5
1530220410.794419783,528,8
1530220410.806922537,396,6
1530220410.819286931,396,6
1530220410.831766275,396,6
1530220410.844008235,330,5
1530220410.856215739,462,7
1530220410.868574667,396,6
1530220410.880802753,396,6
1530220410.893105017,396,6
1530220410.905375745,330,5
1530220410.917666273,462,7
1530220410.930018210,396,6
1530220410.942436333,462,7
1530220410.954915734,396,6
1530220410.967331166,330,5
1530220410.979691944,396,6
1530220410.992122346,396,6
1530220411.004508560,462,7
1530220411.016877014,396,6
1530220411.029180423,330,5
1530220411.041434784,396,6
1530220411.053773262,396,6
1530220411.066059974,462,7
