ts,in_queue (size), in_queue (number)
1530632196.520529921,12112,7
1530632196.533276288,13626,7
1530632196.546149124,12112,6
1530632196.558914657,13626,6
1530632196.571755943,12112,5
1530632196.584619880,12112,5
1530632196.597512609,12112,5
1530632196.610389920,12112,5
1530632196.623163796,10598,5
1530632196.635804304,12112,6
1530632196.648543536,10598,6
1530632196.661212387,12112,7
1530632196.673876002,10598,7
1530632196.686559583,9084,6
1530632196.699208906,9084,6
1530632196.711860762,9084,6
1530632196.724583050,9084,6
1530632196.737367341,9084,6
1530632196.750129001,9084,6
1530632196.762852134,9084,6
1530632196.775684719,9084,6
1530632196.788459320,9084,6
1530632196.801263544,10598,7
1530632196.813825110,10598,7
1530632196.826578152,10598,7
1530632196.839559875,10598,7
1530632196.852142851,10598,7
1530632196.864715468,10598,7
1530632196.877380542,12112,7
1530632196.890247356,10598,6
1530632196.903130474,12112,6
1530632196.915868121,13626,6
1530632196.928585245,12112,5
1530632196.941454223,9084,3
1530632196.954130158,10598,4
1530632196.966927299,9084,4
1530632196.979638001,12112,6
1530632196.992511353,10598,6
1530632197.005421802,12112,7
1530632197.018498070,10598,7
1530632197.031499729,10598,7
1530632197.044202695,10598,7
1530632197.056963294,10598,7
1530632197.069673499,10598,7
1530632197.082453022,10598,7
1530632197.095296523,10598,7
1530632197.108000035,12112,8
1530632197.120886870,12112,8
1530632197.133755548,12112,8
1530632197.146585841,12112,8
1530632197.159399537,12112,7
1530632197.172118576,13626,7
1530632197.184730455,12112,6
1530632197.197374016,13626,6
1530632197.210301955,12112,5
1530632197.222994026,12112,5
1530632197.235788339,12112,5
1530632197.248564360,12112,5
1530632197.261420444,10598,5
1530632197.274188182,12112,6
1530632197.287104683,10598,6
1530632197.299806341,12112,7
1530632197.312608348,10598,7
1530632197.325292131,10598,7
1530632197.338176096,10598,7
1530632197.351138802,10598,7
1530632197.363811505,10598,7
1530632197.376552178,10598,7
1530632197.389245955,9084,6
1530632197.402134326,9084,6
1530632197.414881993,9084,6
1530632197.427767974,9084,6
1530632197.440457047,10598,7
1530632197.453307232,9084,6
1530632197.466026195,10598,6
1530632197.478750947,12112,6
1530632197.491645082,10598,5
1530632197.504252052,9084,4
1530632197.516866148,9084,4
1530632197.529682046,9084,4
1530632197.542588788,10598,5
1530632197.555448080,9084,5
1530632197.568301662,10598,6
1530632197.581060690,9084,6
1530632197.593816224,9084,6
1530632197.606723060,10598,7
1530632197.619580793,9084,6
1530632197.632221907,9084,6
1530632197.645008918,9084,6
1530632197.657935049,9084,6
1530632197.670700403,9084,6
1530632197.683453538,9084,6
1530632197.696046493,10598,7
1530632197.708709593,10598,7
1530632197.721361701,10598,7
1530632197.734268778,10598,7
1530632197.747245991,10598,7
1530632197.760057767,10598,7
1530632197.772863269,12112,7
1530632197.785593995,13626,7
1530632197.798415209,12112,6
1530632197.811322330,13626,6
1530632197.824045299,13626,6
1530632197.836963237,12112,5
1530632197.849567494,10598,4
1530632197.862470854,7570,3
1530632197.875281912,9084,4
1530632197.888081167,9084,5
1530632197.900720961,10598,6
1530632197.913343048,9084,6
1530632197.926188421,9084,6
1530632197.938902795,9084,6
1530632197.951747470,9084,6
1530632197.964361271,9084,6
1530632197.977017562,9084,6
1530632197.989771622,10598,7
1530632198.002457304,10598,7
1530632198.015247664,10598,7
1530632198.028032746,10598,7
1530632198.040719255,10598,7
1530632198.053562507,10598,7
1530632198.066307658,10598,7
1530632198.079106148,10598,7
1530632198.091799631,9084,6
1530632198.104589647,9084,6
1530632198.117325133,9084,6
1530632198.130130905,9084,6
1530632198.143190815,10598,6
1530632198.155927318,12112,6
1530632198.168685141,13626,6
1530632198.181343118,12112,5
1530632198.194193182,10598,4
1530632198.207136019,10598,4
1530632198.220039907,12112,5
1530632198.232962475,10598,5
1530632198.245663559,12112,6
1530632198.258538245,10598,6
1530632198.271304649,12112,7
1530632198.284306987,10598,7
1530632198.297104489,12112,8
1530632198.309935153,10598,7
1530632198.322684313,10598,7
1530632198.335669980,10598,7
1530632198.348495612,10598,7
1530632198.361367341,12112,8
1530632198.374200289,12112,8
1530632198.386920060,12112,8
1530632198.399942690,12112,8
1530632198.412796440,12112,8
1530632198.425538222,12112,8
1530632198.438483914,12112,8
1530632198.451331752,13626,8
1530632198.464127163,12112,7
1530632198.476790014,13626,7
1530632198.489548713,15140,7
1530632198.502398159,13626,6
1530632198.515275297,13626,6
1530632198.527930683,12112,5
1530632198.540686862,12112,5
1530632198.553375617,10598,5
1530632198.566142837,12112,6
1530632198.578948402,10598,6
1530632198.591724799,12112,7
1530632198.604572227,9084,6
1530632198.617198367,9084,6
1530632198.630166068,9084,6
1530632198.643172419,9084,6
1530632198.655950439,10598,7
1530632198.668705049,10598,7
1530632198.681383112,10598,7
1530632198.694147112,10598,7
1530632198.706977339,10598,7
1530632198.719977718,12112,8
1530632198.732605633,12112,8
1530632198.745458545,13626,8
1530632198.758427863,10598,6
1530632198.771316626,12112,6
1530632198.784052601,10598,5
1530632198.797018957,10598,5
1530632198.809771834,10598,5
1530632198.822566331,10598,5
1530632198.835575056,10598,5
1530632198.848427835,7570,4
1530632198.861288968,9084,5
1530632198.874168123,7570,5
1530632198.886923122,9084,6
1530632198.899640774,9084,6
1530632198.912430169,9084,6
1530632198.925159608,9084,6
1530632198.937899261,9084,6
1530632198.950737157,9084,6
1530632198.963480389,10598,7
1530632198.976253094,9084,6
1530632198.989009734,9084,6
1530632199.001827903,9084,6
1530632199.014775595,9084,6
1530632199.027717432,9084,6
1530632199.040461648,9084,6
1530632199.053151842,10598,6
1530632199.065945720,12112,6
1530632199.078692744,10598,5
1530632199.091389456,10598,5
1530632199.104066688,10598,5
1530632199.116922127,10598,5
1530632199.129586596,12112,6
1530632199.142388069,10598,6
1530632199.155329196,12112,7
1530632199.168120037,10598,7
1530632199.180744460,10598,7
1530632199.193525665,12112,8
1530632199.206306463,10598,7
1530632199.219182766,10598,7
1530632199.231874764,10598,7
1530632199.244610065,10598,7
1530632199.257474020,10598,7
1530632199.270414018,10598,7
1530632199.283340758,9084,6
1530632199.296007033,9084,6
1530632199.308927713,9084,6
1530632199.321644491,10598,7
1530632199.334604614,10598,7
1530632199.347475860,10598,7
1530632199.360193705,10598,7
1530632199.373007713,10598,7
1530632199.385635877,12112,7
1530632199.398409940,13626,7
1530632199.411248941,15140,7
1530632199.424005384,12112,5
1530632199.436597134,13626,5
1530632199.449210725,13626,5
1530632199.462046338,12112,5
1530632199.474958313,10598,4
1530632199.487864550,12112,5
1530632199.500729103,9084,4
1530632199.513565913,10598,5
1530632199.526420864,9084,5
1530632199.539227071,9084,5
1530632199.551979889,6056,4
1530632199.564852353,4542,3
1530632199.577594550,4542,3
1530632199.590310118,4542,3
1530632199.603174677,4542,3
1530632199.615908317,4542,3
1530632199.628632732,4542,3
1530632199.641482897,4542,3
1530632199.654362676,3028,2
1530632199.667385158,4542,3
1530632199.680036014,4542,3
1530632199.692924747,4542,3
1530632199.705800411,4542,3
1530632199.718579074,4542,3
1530632199.731530036,4542,3
1530632199.744379757,4542,3
1530632199.757048104,4542,3
1530632199.770041882,4542,3
1530632199.783101083,4542,3
1530632199.795948329,4542,3
1530632199.808549450,6056,4
1530632199.821207158,6056,4
1530632199.834078036,6056,4
1530632199.846831445,6056,4
1530632199.859642098,6056,4
1530632199.872623791,6056,4
1530632199.885276089,6056,4
1530632199.898052821,7570,4
1530632199.910786241,9084,4
1530632199.923686178,7570,3
1530632199.936431692,9084,3
1530632199.949192778,12112,4
1530632199.962135168,9084,3
1530632199.975140152,12112,4
1530632199.987812525,10598,4
1530632200.000624310,12112,5
1530632200.013337099,9084,4
1530632200.026133516,10598,5
1530632200.039021910,9084,5
1530632200.051770986,12112,7
1530632200.064539751,10598,7
1530632200.077326329,10598,7
1530632200.090144821,9084,6
1530632200.103111868,9084,6
1530632200.115847251,9084,6
1530632200.128624310,9084,6
1530632200.141458679,9084,6
1530632200.154210693,9084,6
1530632200.167211022,9084,6
1530632200.179977693,9084,6
1530632200.192673028,10598,7
1530632200.205443418,10598,7
1530632200.218199216,10598,7
1530632200.231043712,10598,7
1530632200.243783472,10598,7
1530632200.256595332,10598,7
1530632200.269342981,10598,7
1530632200.282148159,10598,7
1530632200.295028946,12112,7
1530632200.307878647,13626,7
1530632200.320689490,10598,5
1530632200.333423543,12112,5
1530632200.346249625,12112,5
1530632200.359315536,12112,5
1530632200.372217017,12112,5
1530632200.384994259,10598,5
1530632200.397982274,12112,6
1530632200.411028041,10598,6
1530632200.423830180,12112,7
1530632200.436770505,12112,8
1530632200.449506322,12112,8
1530632200.462439395,12112,8
1530632200.475412585,12112,8
1530632200.488297679,12112,8
1530632200.500952085,12112,8
1530632200.513651841,12112,8
1530632200.526433762,10598,7
1530632200.539281516,10598,7
1530632200.551969612,10598,7
1530632200.564694513,10598,7
1530632200.577442020,12112,8
1530632200.590262934,12112,8
1530632200.603191568,12112,8
1530632200.615898503,12112,8
1530632200.628716811,12112,8
1530632200.641378620,12112,8
1530632200.654219504,12112,8
1530632200.667157746,13626,8
1530632200.679943875,15140,8
1530632200.692801843,15140,8
1530632200.705427150,13626,7
1530632200.718235183,13626,7
1530632200.731071158,13626,7
1530632200.743825961,13626,7
1530632200.756543539,13626,7
1530632200.769471056,12112,7
1530632200.782245523,15140,9
1530632200.795193029,13626,9
1530632200.807913225,13626,9
1530632200.820819006,13626,9
1530632200.833569717,13626,9
1530632200.846107354,13626,9
1530632200.858740841,15140,10
1530632200.871368693,15140,10
1530632200.883882087,15140,10
1530632200.896652519,13626,9
1530632200.909258058,13626,9
1530632200.922132553,15140,10
1530632200.935097736,15140,10
1530632200.947918469,15140,10
1530632200.960586162,15140,10
1530632200.973297353,15140,10
1530632200.986157362,16654,10
1530632200.999054343,16654,9
1530632201.011766657,18168,9
1530632201.024434991,16654,8
1530632201.037225159,15140,7
1530632201.049968617,15140,7
1530632201.062697381,15140,7
1530632201.075472128,13626,6
1530632201.088351779,13626,6
1530632201.101079960,15140,7
1530632201.113796196,13626,7
1530632201.126726768,15140,8
1530632201.139493769,13626,8
1530632201.152366263,15140,9
1530632201.165217033,13626,9
1530632201.178239164,13626,9
1530632201.190964025,15140,10
1530632201.203739214,15140,10
1530632201.216654572,13626,9
1530632201.229444821,13626,9
1530632201.242228029,13626,9
1530632201.255021792,13626,9
1530632201.267748546,13626,9
1530632201.280509651,13626,9
1530632201.293318465,13626,9
1530632201.306032287,13626,9
1530632201.318771092,13626,9
1530632201.331665638,15140,9
1530632201.344265681,16654,9
1530632201.357072130,15140,8
1530632201.369924740,15140,8
1530632201.382620826,15140,8
1530632201.395483061,15140,8
1530632201.408130639,15140,8
1530632201.420974885,15140,8
1530632201.433595493,15140,8
1530632201.446319571,13626,8
1530632201.459168497,13626,8
1530632201.471962871,13626,9
1530632201.484792095,13626,9
1530632201.497442591,13626,9
1530632201.510202160,13626,9
1530632201.522992316,13626,9
1530632201.535832050,13626,9
1530632201.548571583,15140,10
1530632201.561418007,15140,10
1530632201.574096383,15140,10
1530632201.587057077,15140,10
1530632201.599825945,15140,10
1530632201.612672455,15140,10
1530632201.625404036,15140,10
1530632201.638364482,16654,10
1530632201.651264612,15140,9
1530632201.663973262,16654,9
1530632201.676797236,15140,8
1530632201.689553302,15140,8
1530632201.702270200,13626,7
1530632201.715149702,13626,7
1530632201.727826008,13626,7
1530632201.740501124,13626,7
1530632201.753205695,13626,7
1530632201.765956414,12112,7
1530632201.778642225,13626,8
1530632201.791485114,12112,8
1530632201.804287103,12112,8
1530632201.817182995,12112,8
1530632201.829871849,13626,9
1530632201.842587277,12112,8
1530632201.855476223,13626,9
1530632201.868367983,13626,9
1530632201.881235749,13626,9
1530632201.894216477,13626,9
1530632201.906944400,12112,8
1530632201.919814398,12112,8
1530632201.932522437,12112,8
1530632201.945228292,12112,8
1530632201.958083310,12112,8
1530632201.971024415,15140,9
1530632201.983946887,13626,8
1530632201.996870226,15140,8
1530632202.009655524,16654,8
1530632202.022494171,15140,7
1530632202.035291890,13626,6
1530632202.048067178,13626,6
1530632202.060873558,13626,6
1530632202.073485173,13626,6
1530632202.086281307,12112,6
1530632202.099246851,13626,7
1530632202.111949959,15140,8
1530632202.124619255,13626,8
1530632202.137240862,12112,8
1530632202.150012397,12112,8
1530632202.162724612,12112,8
1530632202.175488668,12112,8
1530632202.188316509,13626,9
1530632202.201219155,13626,9
1530632202.213990967,13626,9
1530632202.226852686,13626,9
1530632202.239658406,13626,9
1530632202.252467104,13626,9
1530632202.265478895,13626,9
1530632202.278278077,15140,10
1530632202.291301825,13626,9
1530632202.304332896,13626,9
1530632202.317184398,15140,10
1530632202.330235763,15140,10
1530632202.342973650,13626,9
1530632202.355735808,15140,9
1530632202.368542545,16654,9
1530632202.381301742,15140,8
1530632202.394059406,15140,8
1530632202.406989429,15140,8
1530632202.419852531,15140,8
1530632202.432602810,15140,8
1530632202.445436765,15140,8
1530632202.458158158,15140,8
1530632202.470892044,15140,8
1530632202.483818419,13626,8
1530632202.496498863,15140,9
1530632202.509360725,13626,9
1530632202.522150260,13626,9
1530632202.534901390,15140,10
1530632202.547564231,15140,10
1530632202.560226939,15140,10
1530632202.572974206,13626,9
