ts,in_queue.size, in_queue.number
1530595159.887540201,3028,1
1530595159.899913884,6056,2
1530595159.912188053,6056,2
1530595159.924400796,0,0
1530595159.936615507,19682,11
1530595159.949063895,25738,17
1530595159.961549320,13626,8
1530595159.974018172,19682,12
1530595159.986338665,9084,6
1530595159.998615552,9084,5
1530595160.010911673,18168,11
1530595160.023214711,15140,10
1530595160.035478880,3028,1
1530595160.047717808,7570,3
1530595160.059935915,0,0
1530595160.072175419,0,0
1530595160.084644375,0,0
1530595160.096790446,0,0
1530595160.109161271,0,0
1530595160.121472557,0,0
1530595160.133723705,0,0
1530595160.146020849,1514,1
1530595160.158297882,6056,4
1530595160.170608510,18168,10
1530595160.182905904,12112,8
1530595160.195164146,16654,10
1530595160.207631845,6056,3
1530595160.219999574,10598,6
1530595160.232351202,6056,4
1530595160.244793419,10598,7
1530595160.257034159,0,0
1530595160.269349124,1514,1
1530595160.281713786,0,0
1530595160.293899941,0,0
1530595160.306148900,0,0
1530595160.318388255,0,0
1530595160.330625507,0,0
1530595160.342850563,0,0
1530595160.355007607,0,0
1530595160.367478480,0,0
1530595160.379748862,0,0
1530595160.391840139,0,0
1530595160.404339527,0,0
1530595160.416575550,1514,1
1530595160.428785896,9084,5
1530595160.441023398,15140,10
1530595160.453528601,10598,7
1530595160.465880972,9084,5
1530595160.478146174,10598,5
1530595160.490665937,12112,5
1530595160.502962991,15140,9
1530595160.515319875,6056,4
1530595160.527616007,0,0
1530595160.539778133,0,0
1530595160.552036906,0,0
1530595160.564302901,0,0
1530595160.576434237,0,0
1530595160.588590694,0,0
1530595160.600932152,0,0
1530595160.613043784,0,0
1530595160.625158451,0,0
1530595160.637526666,0,0
1530595160.649709399,0,0
1530595160.662088799,1514,1
1530595160.674536057,0,0
1530595160.686789338,0,0
1530595160.699313448,6056,2
1530595160.711818819,6056,2
1530595160.724010582,9084,3
1530595160.736422483,4542,2
1530595160.748631509,9084,5
1530595160.760831757,1514,1
1530595160.773188391,6056,2
1530595160.785402811,6056,2
1530595160.797675971,3028,1
1530595160.810059651,0,0
1530595160.822338154,3028,1
1530595160.834555912,6056,2
1530595160.846993642,4542,2
1530595160.859202969,3028,1
1530595160.871421284,3028,1
1530595160.883608694,3028,1
1530595160.895744718,28766,17
1530595160.907971228,39364,23
1530595160.920278123,40878,25
1530595160.932615009,22710,14
1530595160.944878007,25738,15
1530595160.957137193,18168,11
1530595160.969574595,13626,9
1530595160.981861619,16654,11
1530595160.994113371,12112,7
1530595161.006471433,16654,10
1530595161.019021747,3028,1
1530595161.031501232,0,0
1530595161.043863744,0,0
1530595161.056009590,0,0
1530595161.068175316,0,0
1530595161.080611775,0,0
1530595161.092882153,0,0
1530595161.104993717,0,0
1530595161.117397417,0,0
1530595161.129554899,0,0
1530595161.141719801,1514,1
1530595161.153963667,1514,1
1530595161.166202726,0,0
1530595161.178501811,0,0
1530595161.190937806,3028,1
1530595161.203195219,10598,7
1530595161.215421254,34e3,22
1530595161.227668416,42392,25
1530595161.239868079,45420,28
1530595161.252158328,37850,21
1530595161.264516071,30280,18
1530595161.276846250,30280,20
1530595161.289359702,24224,13
1530595161.301640767,9084,6
1530595161.313911761,15140,9
1530595161.326211258,0,0
1530595161.338737551,0,0
1530595161.350941770,0,0
1530595161.363216577,0,0
1530595161.375561026,0,0
1530595161.387836845,0,0
1530595161.400054731,0,0
1530595161.412312274,0,0
1530595161.424521800,0,0
1530595161.436874890,0,0
1530595161.449273693,0,0
1530595161.461595737,0,0
1530595161.473888717,1514,1
1530595161.486264871,9084,3
1530595161.498470124,9084,3
1530595161.510749901,6056,2
1530595161.522939456,3028,1
1530595161.535455270,0,0
1530595161.547764596,3028,1
1530595161.559931691,4542,3
1530595161.572255383,9084,6
1530595161.584526205,6056,3
1530595161.596964064,0,0
1530595161.609377292,9084,3
1530595161.621524318,24224,15
1530595161.633789203,42392,26
1530595161.646084160,34e3,23
1530595161.658327210,37850,23
1530595161.670819512,13626,8
1530595161.683175123,21196,11
1530595161.695424007,37850,25
1530595161.707655291,28766,18
1530595161.719866329,37850,23
1530595161.732126311,28766,18
1530595161.744342292,34e3,21
1530595161.756615122,21196,14
1530595161.768920481,13626,8
1530595161.781198038,7570,5
1530595161.793587265,0,0
1530595161.805978816,0,0
1530595161.818333577,0,0
1530595161.830549245,0,0
1530595161.842655542,0,0
1530595161.854862235,0,0
1530595161.867166897,0,0
1530595161.879398930,0,0
1530595161.891838418,0,0
1530595161.904124242,0,0
1530595161.916372088,0,0
1530595161.928581387,0,0
1530595161.941060721,0,0
1530595161.953252925,12112,8
1530595161.965438725,16654,10
1530595161.977909843,12112,5
1530595161.990371182,6056,2
1530595162.002672479,7570,5
1530595162.014889843,6056,2
1530595162.027197153,13626,8
1530595162.039670489,19682,12
1530595162.051939593,13626,9
1530595162.064187470,0,0
1530595162.076618178,0,0
1530595162.088876443,0,0
1530595162.101098646,0,0
1530595162.113234876,0,0
1530595162.125560926,0,0
1530595162.137961919,0,0
1530595162.150329856,0,0
1530595162.162514159,0,0
1530595162.174929207,0,0
1530595162.187190545,0,0
1530595162.199582542,0,0
1530595162.211817890,0,0
1530595162.224187961,0,0
1530595162.236391010,1514,1
1530595162.248583697,6056,2
1530595162.261045377,3028,1
1530595162.273416416,3028,1
1530595162.285688365,3028,1
1530595162.298082184,30280,19
1530595162.310353012,24224,10
1530595162.322639711,30280,20
1530595162.334935069,30280,17
1530595162.347227375,10598,7
1530595162.359484782,7570,5
1530595162.371673166,12112,8
1530595162.383950575,3028,2
1530595162.396270670,3028,1
1530595162.408535158,0,0
1530595162.420804952,0,0
1530595162.433353362,0,0
1530595162.445525630,0,0
1530595162.457884706,0,0
1530595162.470332420,0,0
1530595162.482613033,0,0
1530595162.494990713,0,0
1530595162.507229223,0,0
1530595162.519608490,0,0
1530595162.531792992,0,0
1530595162.543954989,6056,4
1530595162.556252356,10598,7
1530595162.568483014,7570,5
1530595162.580816673,49962,28
1530595162.593122679,19682,12
1530595162.605454081,22710,13
1530595162.617798508,1514,1
1530595162.629998192,12112,8
1530595162.642398603,0,0
1530595162.654571136,0,0
1530595162.666788299,0,0
1530595162.678916438,0,0
1530595162.691240853,0,0
1530595162.703495010,0,0
1530595162.715730014,0,0
1530595162.727852340,0,0
1530595162.739997096,0,0
1530595162.752428718,0,0
1530595162.764747657,0,0
1530595162.777185875,6056,4
1530595162.789555170,3028,2
1530595162.801757033,3028,2
1530595162.814126178,0,0
1530595162.826365199,6056,3
1530595162.838567176,3028,1
1530595162.850960683,3028,2
1530595162.863477224,9084,5
1530595162.875687789,3028,1
1530595162.887782117,0,0
1530595162.899928030,12112,7
1530595162.912390517,10598,6
1530595162.924602742,6056,4
1530595162.936897042,25738,14
1530595162.949157491,21196,14
1530595162.961477328,21196,13
1530595162.974039998,9084,6
1530595162.986324207,12112,7
1530595162.998616799,15140,10
1530595163.011021798,0,0
1530595163.023373915,3028,1
1530595163.035617590,0,0
1530595163.047763146,0,0
1530595163.059948109,0,0
1530595163.072157253,0,0
1530595163.084499983,0,0
1530595163.096812521,0,0
1530595163.109106935,0,0
1530595163.121321731,0,0
1530595163.133432069,0,0
1530595163.145558292,0,0
1530595163.157862737,3028,1
1530595163.170061750,6056,4
1530595163.182327627,0,0
1530595163.194722640,16654,10
1530595163.206977486,27252,18
1530595163.219235901,46934,28
1530595163.231488850,43906,28
1530595163.243708010,43906,26
1530595163.256160680,24224,16
1530595163.268398370,21196,14
1530595163.280786652,15140,10
1530595163.293263131,16654,10
1530595163.305514043,10598,7
1530595163.317854723,3028,2
1530595163.330183373,0,0
1530595163.342376114,0,0
1530595163.354582995,0,0
1530595163.366793463,0,0
1530595163.378968204,0,0
1530595163.391163327,0,0
1530595163.403344887,0,0
1530595163.415519513,0,0
1530595163.427699116,0,0
1530595163.439912352,0,0
1530595163.452038300,0,0
1530595163.464529299,1514,1
1530595163.476768448,7570,5
1530595163.489097361,4542,2
1530595163.501391159,3028,1
1530595163.513785163,3028,2
1530595163.526296290,0,0
1530595163.538809478,0,0
1530595163.551039450,0,0
1530595163.563280299,0,0
1530595163.575526884,0,0
1530595163.587680550,0,0
1530595163.599822655,0,0
1530595163.612167943,0,0
1530595163.624602621,0,0
1530595163.637038699,0,0
1530595163.649245908,0,0
1530595163.661426096,0,0
1530595163.673645999,0,0
1530595163.685949263,0,0
1530595163.698146724,4542,2
1530595163.710603493,3028,1
1530595163.723092855,6056,2
1530595163.735374801,3028,1
1530595163.747596957,0,0
1530595163.759753244,0,0
1530595163.771972941,10598,7
1530595163.784236461,7570,5
1530595163.796483305,12112,4
1530595163.808771763,6056,2
1530595163.821055800,9084,4
1530595163.833578996,30280,19
1530595163.845853934,37850,24
1530595163.858292223,15140,8
1530595163.870597950,16654,11
1530595163.882844294,15140,9
1530595163.895120474,7570,5
1530595163.907338167,1514,1
1530595163.919750948,1514,1
1530595163.931908371,0,0
1530595163.944060575,0,0
1530595163.956196500,0,0
1530595163.968450009,0,0
1530595163.980689888,0,0
1530595163.993182191,0,0
1530595164.005457905,0,0
1530595164.017932819,0,0
1530595164.030182661,0,0
1530595164.042566875,0,0
1530595164.054941038,0,0
1530595164.067337616,0,0
1530595164.079568881,0,0
1530595164.091975660,7570,5
1530595164.104262229,6056,3
1530595164.116591567,10598,6
1530595164.128744858,13626,9
1530595164.140914025,10598,6
1530595164.153225271,15140,9
1530595164.165515369,40878,25
1530595164.177820214,33308,19
1530595164.190084779,24224,13
1530595164.202364467,28766,17
1530595164.214650171,22710,15
1530595164.226929525,40878,25
1530595164.239184218,36336,22
1530595164.251392084,40878,26
1530595164.263632124,49962,29
1530595164.275865220,54504,34
1530595164.288118343,54504,33
1530595164.300380178,37850,21
1530595164.312653390,22710,15
1530595164.324964066,16654,10
1530595164.337294862,15140,9
1530595164.349663834,1514,1
1530595164.362022457,0,0
1530595164.374207578,4542,3
1530595164.386676541,0,0
1530595164.399069327,0,0
1530595164.411316826,0,0
1530595164.423598817,0,0
1530595164.435919324,0,0
1530595164.448092984,0,0
1530595164.460534651,0,0
1530595164.472751225,0,0
1530595164.484981553,0,0
1530595164.497500266,0,0
1530595164.509916779,0,0
1530595164.522177314,9084,6
1530595164.534561853,7570,5
1530595164.546847110,18168,12
1530595164.559119654,15140,10
1530595164.571384811,12112,8
1530595164.583649306,16654,11
1530595164.595974017,10598,6
1530595164.608237281,7570,4
1530595164.620455728,10598,7
1530595164.632933669,13626,9
1530595164.645219318,15140,9
1530595164.657563114,16654,10
1530595164.669849143,22710,14
1530595164.682148270,15140,9
1530595164.694370617,1514,1
1530595164.706691106,0,0
1530595164.718902896,0,0
1530595164.731139543,0,0
1530595164.743385931,0,0
1530595164.755740392,0,0
1530595164.768156098,0,0
1530595164.780472532,9084,3
1530595164.792718907,10598,5
1530595164.805033770,4542,2
1530595164.817305443,28766,15
1530595164.829586896,15140,8
1530595164.842012731,7570,5
1530595164.854273919,10598,7
1530595164.866547877,13626,9
1530595164.878838357,16654,11
1530595164.891155644,10598,6
1530595164.903393302,0,0
1530595164.915703945,0,0
1530595164.927895299,0,0
1530595164.940214787,0,0
1530595164.952461715,0,0
1530595164.964844361,0,0
1530595164.977356488,0,0
1530595164.989545453,0,0
1530595165.001885126,0,0
1530595165.014166502,0,0
1530595165.026353865,0,0
1530595165.038668480,0,0
1530595165.050854034,0,0
1530595165.063022047,0,0
1530595165.075475757,1514,1
1530595165.087864522,0,0
1530595165.100033738,7570,5
1530595165.112427522,3028,2
1530595165.124636992,3028,1
1530595165.136844079,9084,3
1530595165.149097243,3028,2
1530595165.161488650,12112,8
1530595165.173896835,1514,1
1530595165.186158496,0,0
1530595165.198420202,9084,4
1530595165.210737202,4542,3
1530595165.222998456,16654,10
1530595165.235258839,10598,6
1530595165.247490298,6056,2
1530595165.259834401,0,0
1530595165.272369874,6056,2
1530595165.284619903,3028,1
1530595165.296930430,6056,3
1530595165.309138715,6056,2
1530595165.321364273,3028,1
1530595165.333550708,4542,2
1530595165.345841149,12112,7
1530595165.358107121,0,0
1530595165.370483537,0,0
1530595165.382894001,0,0
1530595165.395057787,0,0
1530595165.407315704,0,0
1530595165.419579013,0,0
1530595165.431788898,0,0
1530595165.444056998,1514,1
1530595165.456319731,18168,11
1530595165.468549395,33308,22
1530595165.480795256,22710,14
1530595165.493015678,12112,8
1530595165.505232465,9084,6
1530595165.517445816,0,0
1530595165.529905126,3028,2
1530595165.542087438,3028,2
1530595165.554270820,0,0
1530595165.566703860,0,0
1530595165.578917644,0,0
1530595165.591223533,0,0
1530595165.603437525,0,0
1530595165.615631437,0,0
1530595165.627793639,0,0
1530595165.639964911,0,0
1530595165.652344922,0,0
1530595165.664603349,0,0
1530595165.676853700,0,0
1530595165.689098932,12112,7
1530595165.701383484,3028,2
1530595165.713665806,7570,4
1530595165.725924260,3028,2
1530595165.738173691,6056,2
1530595165.750605043,0,0
1530595165.762917032,9084,5
1530595165.775184600,6056,2
1530595165.787496112,4542,2
1530595165.799674430,28766,19
1530595165.811997964,37850,24
1530595165.824272417,31794,19
1530595165.836509052,37850,24
1530595165.848775973,21196,13
1530595165.860997062,28766,14
1530595165.873351734,16654,10
1530595165.885908829,15140,8
1530595165.898205043,9084,5
1530595165.910543543,7570,4
1530595165.922848457,0,0
1530595165.935206042,0,0
1530595165.947638516,1514,1
1530595165.959800395,0,0
1530595165.972049228,0,0
1530595165.984229594,0,0
1530595165.996656165,0,0
1530595166.008883613,0,0
1530595166.021095934,0,0
1530595166.033553109,0,0
1530595166.045873917,0,0
1530595166.058130192,6056,3
1530595166.070585970,9084,3
1530595166.083148604,6056,2
1530595166.095418753,6056,2
1530595166.107627371,7570,3
1530595166.119939089,3028,1
1530595166.132187242,6056,2
1530595166.144419617,0,0
1530595166.156810199,9084,3
1530595166.169200764,12112,5
1530595166.181511645,10598,6
1530595166.193807358,9084,4
1530595166.206050904,9084,4
1530595166.218279532,9084,3
1530595166.230655575,4542,2
1530595166.242883694,3028,2
1530595166.255056139,3028,1
1530595166.267467174,6056,3
1530595166.279869175,12112,8
1530595166.292168735,10598,5
1530595166.304405446,0,0
1530595166.316595596,4542,3
1530595166.329003577,0,0
1530595166.341263612,0,0
1530595166.353565773,1514,1
1530595166.365807489,4542,2
1530595166.378205227,4542,2
1530595166.390720921,0,0
1530595166.403145145,7570,3
1530595166.415401054,3028,1
1530595166.427618900,6056,2
1530595166.439926703,3028,1
1530595166.452126304,3028,1
1530595166.464316642,1514,1
1530595166.476730863,3028,1
1530595166.488880389,21196,13
1530595166.501103040,30280,17
1530595166.513401361,36336,24
1530595166.525737489,40878,23
1530595166.538053505,10598,6
1530595166.550391454,22710,14
1530595166.562719767,19682,11
1530595166.575139640,12112,8
1530595166.587473270,15140,9
1530595166.599781088,1514,1
1530595166.612079148,0,0
1530595166.624410674,0,0
1530595166.636813667,0,0
1530595166.648959598,0,0
1530595166.661282825,0,0
1530595166.673466827,0,0
1530595166.685661373,0,0
1530595166.697821290,0,0
1530595166.710290691,0,0
1530595166.722602231,0,0
1530595166.734762131,0,0
1530595166.747043772,9084,5
1530595166.759317197,6056,2
1530595166.771481053,18168,11
1530595166.783772563,30280,18
1530595166.796060635,19682,13
1530595166.808382353,37850,23
1530595166.820587821,28766,19
1530595166.832859638,25738,15
1530595166.845223233,15140,10
1530595166.857500089,22710,14
1530595166.869753504,3028,2
1530595166.882017553,3028,1
1530595166.894326610,0,0
1530595166.906583970,0,0
1530595166.918871013,0,0
1530595166.931066632,0,0
1530595166.943385104,0,0
1530595166.955751521,0,0
1530595166.968067387,0,0
1530595166.980399346,0,0
1530595166.992558954,0,0
1530595167.004898115,0,0
1530595167.017223849,0,0
1530595167.029344315,0,0
1530595167.041495541,0,0
1530595167.053810543,1514,1
1530595167.066313889,0,0
1530595167.078542960,3028,1
1530595167.090884330,0,0
1530595167.103327143,6056,2
1530595167.115661893,6056,2
1530595167.128097650,6056,2
1530595167.140506598,7570,3
1530595167.152690238,25738,16
1530595167.164953982,45420,29
1530595167.177281452,40878,24
1530595167.189559710,19682,12
1530595167.201931686,9084,4
1530595167.214264486,7570,5
1530595167.226561074,0,0
1530595167.238770638,0,0
1530595167.250947022,0,0
1530595167.263188215,0,0
1530595167.275525995,0,0
1530595167.287694187,0,0
1530595167.299982474,0,0
1530595167.312101930,0,0
1530595167.324380530,0,0
1530595167.336581526,0,0
1530595167.348869012,0,0
1530595167.361106833,0,0
1530595167.373289589,0,0
1530595167.385526593,0,0
1530595167.397882185,0,0
1530595167.410453340,12112,8
1530595167.422812528,25738,17
1530595167.435152591,36336,21
1530595167.447418980,34e3,22
1530595167.459639346,25738,13
1530595167.471851052,16654,9
1530595167.484071281,18168,9
1530595167.496342722,21196,12
1530595167.508588974,15140,10
1530595167.520897654,12112,8
1530595167.533159691,6056,4
1530595167.545448053,1514,1
1530595167.557680746,0,0
1530595167.570081155,0,0
1530595167.582252136,0,0
1530595167.594541717,0,0
1530595167.606778040,0,0
1530595167.619124300,0,0
1530595167.631439770,0,0
1530595167.643794486,0,0
1530595167.656160290,0,0
1530595167.668548534,0,0
1530595167.680791781,45420,29
1530595167.693135911,18168,12
1530595167.705628675,9084,6
1530595167.718033058,4542,3
1530595167.730251992,3028,2
1530595167.742534877,0,0
1530595167.754816364,0,0
1530595167.767022273,0,0
1530595167.779233106,0,0
1530595167.791576303,0,0
1530595167.803732391,0,0
1530595167.815932710,0,0
1530595167.828336059,0,0
1530595167.840534155,0,0
1530595167.852767962,0,0
1530595167.864983373,0,0
1530595167.877353518,0,0
1530595167.889486978,0,0
1530595167.901895367,9084,5
1530595167.914133924,16720,12
1530595167.926369733,19682,11
1530595167.938715776,18168,11
1530595167.950954509,9084,5
1530595167.963145404,0,0
1530595167.975452142,0,0
1530595167.987839220,0,0
1530595167.999989103,0,0
1530595168.012524959,0,0
1530595168.024854952,0,0
1530595168.037165899,0,0
1530595168.049439101,0,0
1530595168.061716237,0,0
1530595168.073994815,0,0
1530595168.086522022,0,0
1530595168.098907068,0,0
1530595168.111121089,0,0
1530595168.123360669,0,0
1530595168.135744265,1514,1
1530595168.147852729,6056,2
1530595168.160041608,24224,16
1530595168.172309854,43906,28
1530595168.184628888,24224,15
1530595168.196933730,13626,7
1530595168.209152161,6056,3
1530595168.221530382,1514,1
1530595168.233707128,1514,1
1530595168.246010764,0,0
1530595168.258247454,0,0
1530595168.270416103,0,0
1530595168.282559197,0,0
1530595168.294821401,0,0
1530595168.307312754,0,0
1530595168.319807111,0,0
1530595168.331981953,0,0
1530595168.344124171,0,0
1530595168.356423681,0,0
1530595168.368708799,0,0
1530595168.380880756,10598,7
1530595168.393187877,12112,7
1530595168.405457621,12112,8
1530595168.417804359,31794,18
1530595168.430219637,21196,13
1530595168.442503640,16654,11
1530595168.454760053,4542,3
1530595168.467006347,0,0
1530595168.479241973,0,0
1530595168.491509332,0,0
1530595168.503689468,0,0
1530595168.515918642,0,0
1530595168.528055898,0,0
1530595168.540372896,0,0
1530595168.552627530,0,0
1530595168.565033764,0,0
1530595168.577410926,0,0
1530595168.589638992,0,0
1530595168.602084770,0,0
1530595168.614608622,1514,1
1530595168.626836272,0,0
1530595168.639060797,28766,18
1530595168.651382820,39364,25
1530595168.663615495,45420,27
1530595168.675845177,48448,28
1530595168.688044248,46934,31
1530595168.700315152,22710,12
1530595168.712547456,24224,16
1530595168.724767979,21196,13
1530595168.736994194,21196,13
1530595168.749228310,25738,16
1530595168.761493798,18168,11
1530595168.773897718,4542,3
1530595168.786152084,18168,11
1530595168.798380059,12112,7
1530595168.810613026,16654,8
1530595168.822809229,4542,3
1530595168.835152758,0,0
1530595168.847499098,0,0
1530595168.859690028,0,0
1530595168.871778190,0,0
1530595168.883958898,0,0
1530595168.896228720,0,0
1530595168.908452242,0,0
1530595168.920729371,12112,8
1530595168.933039654,36336,23
1530595168.945387556,52990,30
1530595168.957647027,27252,18
1530595168.969898577,22710,14
1530595168.982474254,13626,9
1530595168.994730772,15140,8
1530595169.007280364,0,0
1530595169.019648235,1514,1
1530595169.031995438,0,0
1530595169.044186681,0,0
1530595169.056379403,0,0
1530595169.068584477,0,0
1530595169.080936683,0,0
1530595169.093173548,0,0
1530595169.105457966,0,0
1530595169.117650665,0,0
1530595169.129910825,0,0
1530595169.142327536,0,0
1530595169.154497630,0,0
1530595169.166752288,0,0
1530595169.179001154,15140,10
1530595169.191254293,16720,10
1530595169.203531748,25738,16
1530595169.215775775,45420,29
1530595169.228029876,19682,13
1530595169.240249259,22710,14
1530595169.252433520,21196,14
1530595169.264908492,13626,8
1530595169.277169236,6056,4
1530595169.289386442,0,0
1530595169.301931417,0,0
1530595169.314188525,0,0
1530595169.326453863,0,0
1530595169.338934289,0,0
1530595169.351270586,0,0
1530595169.363491421,0,0
1530595169.375653216,0,0
1530595169.387743683,0,0
1530595169.399891024,0,0
1530595169.412006740,0,0
1530595169.424464697,0,0
1530595169.436933629,0,0
1530595169.449156628,0,0
1530595169.461447421,1514,1
1530595169.473729475,10598,7
1530595169.485977759,7570,3
1530595169.498288218,0,0
1530595169.510534588,3028,1
1530595169.522768296,0,0
1530595169.534951666,0,0
1530595169.547112987,0,0
1530595169.559322016,0,0
1530595169.571621236,0,0
1530595169.583982888,0,0
1530595169.596151977,0,0
1530595169.608283862,0,0
1530595169.620416204,0,0
1530595169.632864210,0,0
1530595169.645097531,0,0
1530595169.657352625,0,0
1530595169.669682229,0,0
1530595169.682124264,0,0
1530595169.694511082,9084,4
1530595169.706791454,3028,1
1530595169.719120650,6056,2
1530595169.731546916,3028,1
1530595169.743818616,16654,10
1530595169.756079385,37850,19
1530595169.768359988,28766,17
1530595169.780604564,36336,20
1530595169.792826553,24224,15
1530595169.805059326,36336,24
1530595169.817310240,39364,24
1530595169.829546222,46934,26
1530595169.841807565,21196,14
1530595169.854039467,30280,17
1530595169.866299760,36336,23
1530595169.878596182,25738,16
1530595169.890893538,21196,12
1530595169.903268619,6056,4
1530595169.915731973,1514,1
1530595169.927905246,6056,4
1530595169.940219729,0,0
1530595169.952437240,0,0
1530595169.964799868,0,0
1530595169.976936958,0,0
1530595169.989081451,0,0
1530595170.001284017,0,0
1530595170.013396819,0,0
1530595170.025647252,0,0
1530595170.038005491,0,0
1530595170.050260163,0,0
1530595170.062420845,0,0
1530595170.074615629,0,0
1530595170.087141857,0,0
1530595170.099409751,9084,5
1530595170.111787888,6056,3
1530595170.123935217,3028,1
1530595170.136140132,3028,1
1530595170.148374553,3028,1
1530595170.160842973,6056,2
1530595170.173089530,0,0
1530595170.185503589,22710,13
1530595170.197874935,15140,9
1530595170.210274612,12112,6
1530595170.222573953,22710,13
1530595170.235124679,19682,11
1530595170.247637815,13626,7
1530595170.259886841,12112,8
1530595170.272103257,0,0
1530595170.284285013,0,0
1530595170.296612581,0,0
