ts,in_queue.size, in_queue.number
1530550709.408443487,1320,20
1530550709.421044995,1320,20
1530550709.433667182,1188,18
1530550709.446205711,1188,18
1530550709.458766480,1386,21
1530550709.471386994,1188,18
1530550709.483967842,1254,19
1530550709.496650554,1254,19
1530550709.509343051,1320,20
1530550709.522031563,1254,19
1530550709.534640039,1188,18
1530550709.547205571,1320,20
1530550709.559887109,1254,19
1530550709.572673832,1188,18
1530550709.585375646,1254,19
1530550709.598021179,1188,18
1530550709.610727950,1254,19
1530550709.623265066,1254,19
1530550709.635845976,1188,18
1530550709.648512764,1254,19
1530550709.661052402,1188,18
1530550709.673726079,1188,18
1530550709.686455458,1320,20
1530550709.698958130,1254,19
1530550709.711639477,1188,18
1530550709.724141125,1254,19
1530550709.736831080,1320,20
1530550709.749291690,1188,18
1530550709.761789398,1188,18
1530550709.774593846,1188,18
1530550709.787278998,1254,19
1530550709.799896439,1188,18
1530550709.812471885,1254,19
1530550709.825052998,1254,19
1530550709.837624121,1188,18
1530550709.850313272,1188,18
1530550709.863005256,1254,19
1530550709.875495629,1254,19
1530550709.888078774,1320,20
1530550709.900635817,1254,19
1530550709.913251001,1452,22
1530550709.925919962,1386,21
1530550709.938567806,1386,21
1530550709.951184051,1188,18
1530550709.963748491,1254,19
1530550709.976199180,1254,19
1530550709.988640664,1254,19
1530550710.001241299,1188,18
1530550710.013798537,1254,19
1530550710.026400703,1188,18
1530550710.038975324,1254,19
1530550710.051738786,1320,20
1530550710.064471424,1188,18
1530550710.077080483,1188,18
1530550710.089552946,1188,18
1530550710.102179787,1254,19
1530550710.114685077,1254,19
1530550710.127249500,1188,18
1530550710.139823704,1254,19
1530550710.152404052,1386,21
1530550710.164866779,1188,18
1530550710.177536982,1320,20
1530550710.190190199,1452,22
1530550710.202799596,1254,19
1530550710.215436276,1320,20
1530550710.227907866,1254,19
1530550710.240436510,1254,19
1530550710.252915184,1188,18
1530550710.265567553,1254,19
1530550710.278251962,1188,18
1530550710.291096522,1188,18
1530550710.303819671,1254,19
1530550710.316502637,1188,18
1530550710.328957366,1254,19
1530550710.341410230,1386,21
1530550710.353898783,1386,21
1530550710.366631675,1254,19
1530550710.379224538,1254,19
1530550710.391679435,1188,18
1530550710.404418608,1188,18
1530550710.417060398,1254,19
1530550710.429631108,1188,18
1530550710.442389472,1188,18
1530550710.454932374,1254,19
1530550710.467509126,1254,19
1530550710.480060152,1188,18
1530550710.492532535,1188,18
1530550710.505151468,1320,20
1530550710.517722560,1254,19
1530550710.530262827,1188,18
1530550710.542827461,1188,18
1530550710.555553325,1254,19
1530550710.568091119,1188,18
1530550710.580800672,1188,18
1530550710.593368130,1254,19
1530550710.605985727,1188,18
1530550710.618593542,1254,19
1530550710.631380080,1188,18
1530550710.643939490,1188,18
1530550710.656520120,1254,19
1530550710.669047452,1254,19
1530550710.681629889,1188,18
1530550710.694206697,1188,18
1530550710.706782716,1254,19
1530550710.719253728,1254,19
1530550710.731841933,1188,18
1530550710.744363063,1254,19
1530550710.757090623,1254,19
1530550710.769688269,1188,18
1530550710.782203145,1254,19
1530550710.794822603,1188,18
1530550710.807354266,1188,18
1530550710.819803333,1188,18
1530550710.832474636,1254,19
1530550710.845145026,1188,18
1530550710.857613869,1188,18
1530550710.870285430,1254,19
1530550710.882769235,1254,19
1530550710.895441671,1188,18
1530550710.907849625,1188,18
1530550710.920497865,1254,19
1530550710.933131051,1254,19
1530550710.945592919,1320,20
1530550710.958151406,1188,18
1530550710.970694255,1188,18
1530550710.983348015,1188,18
1530550710.996059181,1254,19
1530550711.008526684,1188,18
1530550711.021224769,1188,18
1530550711.033781624,1254,19
1530550711.046363874,1254,19
1530550711.059008560,1188,18
1530550711.071507999,1188,18
1530550711.084146058,1254,19
1530550711.096634088,1188,18
1530550711.109188361,1254,19
1530550711.121633990,1254,19
1530550711.134148752,1254,19
1530550711.146700418,1188,18
1530550711.159272901,1254,19
1530550711.171788527,1254,19
1530550711.184342286,1254,19
1530550711.196947535,1188,18
1530550711.209478123,1254,19
1530550711.222068157,1188,18
1530550711.234762238,1254,19
1530550711.247562421,1254,19
1530550711.260179129,1188,18
1530550711.272875672,1254,19
1530550711.285553014,1254,19
1530550711.298090164,1254,19
1530550711.310844379,1254,19
1530550711.323420161,1254,19
1530550711.336026801,1188,18
1530550711.348614161,1188,18
1530550711.361137474,1254,19
1530550711.373812084,1188,18
1530550711.386324491,1188,18
1530550711.398823915,1188,18
1530550711.411299459,1254,19
1530550711.424004035,1188,18
1530550711.436515675,1254,19
1530550711.449071858,1254,19
1530550711.461601228,1188,18
1530550711.474075502,1254,19
1530550711.486688906,1254,19
1530550711.499301864,1188,18
1530550711.511719357,1188,18
1530550711.524152108,1188,18
1530550711.536935023,1254,19
1530550711.549480112,1188,18
1530550711.562226327,1188,18
1530550711.574733852,1254,19
1530550711.587558809,1188,18
1530550711.600231693,1254,19
1530550711.612858716,1386,21
1530550711.625538827,1254,19
1530550711.638207131,1254,19
1530550711.650691675,1254,19
1530550711.663396615,1188,18
1530550711.676024471,1320,20
1530550711.688504795,1254,19
1530550711.701073597,1188,18
1530550711.713554259,1188,18
1530550711.726277283,1254,19
1530550711.738942709,1386,21
1530550711.751511623,1386,21
1530550711.763914070,1188,18
1530550711.776584219,1254,19
1530550711.789109295,1188,18
1530550711.801765514,1188,18
1530550711.814624846,1320,20
1530550711.827429186,1254,19
1530550711.840074935,1188,18
1530550711.852744300,1254,19
1530550711.865290744,1188,18
1530550711.877837873,1254,19
1530550711.890567352,1188,18
1530550711.903275593,1254,19
1530550711.915720996,1320,20
1530550711.928392025,1254,19
1530550711.941035635,1386,21
1530550711.953585316,1452,22
1530550711.966152585,1386,21
1530550711.978746890,1188,18
1530550711.991314214,1320,20
1530550712.003888537,1320,20
1530550712.016432870,1386,21
1530550712.029016318,1452,22
1530550712.041685033,1386,21
1530550712.054296690,1320,20
1530550712.066853415,1320,20
1530550712.079425170,1386,21
1530550712.092028641,1188,18
1530550712.104583523,1188,18
1530550712.117156282,1254,19
1530550712.129842049,1254,19
1530550712.142532960,1320,20
1530550712.155295994,1320,20
1530550712.167766454,1254,19
1530550712.180291889,1188,18
1530550712.192900141,1254,19
1530550712.205416143,1320,20
1530550712.218006468,1254,19
1530550712.230655485,1188,18
1530550712.243301595,1188,18
1530550712.256090656,1254,19
1530550712.268650051,1320,20
1530550712.281163654,1386,21
1530550712.293636619,1320,20
1530550712.306187169,1254,19
1530550712.318874294,1254,19
1530550712.331517994,1320,20
1530550712.343947868,1188,18
1530550712.356639112,1188,18
1530550712.369181653,1254,19
1530550712.381753003,1452,22
1530550712.394259243,1320,20
1530550712.406773157,1188,18
1530550712.419421082,1254,19
1530550712.431803214,1188,18
1530550712.444249853,1254,19
1530550712.456922190,1254,19
1530550712.469477460,1188,18
1530550712.481979827,1188,18
1530550712.494685172,1254,19
1530550712.507504085,1188,18
1530550712.519969848,1254,19
1530550712.532591386,1254,19
1530550712.545225816,1320,20
1530550712.557908058,1254,19
1530550712.570498865,1188,18
1530550712.583109759,1254,19
1530550712.595539260,1188,18
1530550712.607973427,1254,19
1530550712.620691701,1188,18
1530550712.633292699,1254,19
1530550712.645819650,1254,19
1530550712.658479384,1320,20
1530550712.671203327,1254,19
1530550712.683921588,1254,19
1530550712.696854671,1320,20
1530550712.709575152,1320,20
1530550712.722130935,1386,21
1530550712.734806002,1386,21
1530550712.747601222,1320,20
1530550712.760059257,1254,19
1530550712.772665943,1254,19
1530550712.785145189,1254,19
1530550712.797704705,1254,19
1530550712.810335185,1188,18
1530550712.823063807,1320,20
1530550712.835701908,1254,19
1530550712.848236144,1254,19
1530550712.860939579,1386,21
1530550712.873476958,1320,20
1530550712.885964316,1518,23
1530550712.898603674,1188,18
1530550712.911208946,1320,20
1530550712.923864959,1386,21
1530550712.936436264,1386,21
1530550712.949117470,1254,19
1530550712.961682653,1188,18
1530550712.974224894,1254,19
1530550712.986754741,1320,20
1530550712.999291851,1188,18
1530550713.011984573,1188,18
1530550713.024551514,1254,19
1530550713.037058087,1188,18
1530550713.049703233,1254,19
1530550713.062417858,1386,21
1530550713.075040807,1188,18
1530550713.087763556,1254,19
1530550713.100411457,1188,18
1530550713.113038838,1254,19
1530550713.125577340,1254,19
1530550713.138314560,1188,18
1530550713.150978564,1254,19
1530550713.163727328,1386,21
1530550713.176411660,1320,20
1530550713.188878424,1254,19
1530550713.201530824,1188,18
1530550713.214144358,1254,19
1530550713.226800079,1188,18
1530550713.239617620,1320,20
1530550713.252240093,1452,22
1530550713.264763318,1254,19
1530550713.277404919,1254,19
1530550713.290074177,1188,18
1530550713.302661084,1320,20
1530550713.315438856,1188,18
1530550713.328076069,1188,18
1530550713.340620820,1320,20
1530550713.353225502,1254,19
1530550713.365732633,1320,20
1530550713.378532294,1188,18
1530550713.391244503,1254,19
1530550713.403801292,1386,21
1530550713.416472059,1320,20
1530550713.429065597,1254,19
1530550713.441656192,1254,19
1530550713.454328304,1320,20
1530550713.479431662,1254,19
1530550713.491848596,1320,20
1530550713.504453422,1320,20
1530550713.516987053,1188,18
1530550713.529594498,1188,18
1530550713.542351514,1254,19
1530550713.554905349,1188,18
1530550713.567398124,1254,19
1530550713.579995033,1188,18
1530550713.592578192,1188,18
1530550713.605144050,1320,20
1530550713.617764153,1320,20
1530550713.630499984,1188,18
1530550713.643285763,1254,19
1530550713.656085121,1188,18
1530550713.668605753,1188,18
1530550713.681204412,1188,18
1530550713.693642846,1254,19
1530550713.706325683,1188,18
1530550713.719021850,1188,18
1530550713.731759436,1254,19
1530550713.744412099,1188,18
1530550713.757070397,1320,20
1530550713.769621445,1254,19
1530550713.782236546,1254,19
1530550713.795016589,1320,20
1530550713.807706124,1320,20
1530550713.820385162,1254,19
1530550713.832961493,1188,18
1530550713.845603170,1188,18
1530550713.858337488,1386,21
1530550713.871137009,1254,19
1530550713.883753896,1254,19
1530550713.896423378,1254,19
1530550713.909126645,1254,19
1530550713.921569484,1386,21
1530550713.934155741,1188,18
1530550713.946673038,1254,19
1530550713.959324934,1254,19
1530550713.971955193,1254,19
1530550713.984636896,1320,20
1530550713.997269722,1188,18
1530550714.009782461,1254,19
1530550714.022437748,1188,18
1530550714.035140157,1254,19
1530550714.047651106,1188,18
1530550714.060188978,1320,20
1530550714.072846786,1188,18
1530550714.085288284,1254,19
1530550714.097953143,1386,21
1530550714.110568311,1254,19
1530550714.123181162,1386,21
1530550714.136016451,1386,21
1530550714.148608358,1188,18
1530550714.161261641,1254,19
1530550714.173940663,1254,19
1530550714.186638312,1188,18
1530550714.199250435,1254,19
1530550714.211750326,1320,20
1530550714.224449842,1254,19
1530550714.237035228,1188,18
1530550714.249530777,1254,19
1530550714.262196922,1254,19
1530550714.274884593,1188,18
1530550714.287605512,1320,20
1530550714.300281538,1320,20
1530550714.312827060,1254,19
1530550714.325468711,1188,18
1530550714.337959031,1320,20
1530550714.350681581,1320,20
1530550714.363294089,1254,19
1530550714.375853465,1188,18
1530550714.388465733,1320,20
1530550714.401071081,1386,21
1530550714.413616385,1254,19
1530550714.426389730,1320,20
1530550714.439024983,1320,20
1530550714.451713754,1254,19
1530550714.464310705,1188,18
1530550714.476763958,1188,18
1530550714.489327603,1320,20
1530550714.501883928,1254,19
1530550714.514539725,1254,19
1530550714.527296575,1254,19
1530550714.539819708,1254,19
1530550714.552399795,1254,19
1530550714.564949953,1452,22
1530550714.577422936,1254,19
1530550714.590107617,1188,18
1530550714.602732514,1320,20
1530550714.615410398,1386,21
1530550714.628030593,1320,20
1530550714.640492545,1188,18
1530550714.652938638,1254,19
1530550714.665405390,1254,19
1530550714.677924733,1188,18
1530550714.690554880,1254,19
1530550714.703279941,1254,19
1530550714.715959172,1188,18
1530550714.728443181,1188,18
1530550714.741067829,1188,18
1530550714.753614879,1188,18
1530550714.766127661,1320,20
1530550714.778683324,1188,18
1530550714.791421836,1188,18
1530550714.803867116,1254,19
1530550714.816478320,1320,20
1530550714.829020980,1254,19
1530550714.841548896,1254,19
1530550714.854352708,1386,21
1530550714.867145789,1254,19
1530550714.879835964,1188,18
1530550714.892276606,1188,18
1530550714.904953942,1386,21
1530550714.917714986,1320,20
1530550714.930320321,1188,18
1530550714.943012498,1320,20
1530550714.955595226,1320,20
1530550714.968071397,1320,20
1530550714.980608987,1188,18
1530550714.993203217,1188,18
1530550715.005713161,1452,22
1530550715.018277904,1386,21
1530550715.030895703,1188,18
1530550715.043352845,1320,20
1530550715.055831714,1320,20
1530550715.068445693,1320,20
1530550715.081075759,1254,19
1530550715.093651815,1320,20
1530550715.106283815,1188,18
1530550715.118934615,1254,19
1530550715.131495293,1254,19
1530550715.144141049,1188,18
1530550715.156638134,1188,18
1530550715.169322595,1320,19
1530550715.181796140,1320,20
1530550715.194570116,1254,19
1530550715.207138797,1254,19
1530550715.219768087,1320,20
1530550715.232425352,1188,18
1530550715.245078695,1254,19
1530550715.257605914,1188,18
1530550715.270203752,1254,19
1530550715.282694518,1188,18
1530550715.295290575,1254,19
1530550715.307761789,1254,19
1530550715.320203005,1188,18
1530550715.332767489,1188,18
1530550715.345238390,1254,19
1530550715.357947300,1254,19
1530550715.370494817,1254,19
1530550715.383148187,1320,20
1530550715.395693125,1320,20
1530550715.408328636,1188,18
1530550715.420871864,1320,20
1530550715.433553433,1320,20
1530550715.446153040,1188,18
1530550715.458756650,1320,20
1530550715.471268080,1254,19
1530550715.483760205,1188,18
1530550715.496281162,1188,18
1530550715.508917434,1254,19
1530550715.521591899,1254,19
1530550715.534401306,1188,18
1530550715.546908276,1254,19
1530550715.559495514,1386,21
1530550715.572009736,1320,20
1530550715.584771407,1254,19
1530550715.597454064,1254,19
1530550715.610137151,1188,18
1530550715.622739553,1188,18
1530550715.635290028,1254,19
1530550715.647873853,1188,18
1530550715.660317823,1320,20
1530550715.672793888,1254,19
1530550715.685430092,1188,18
1530550715.698149776,1386,21
1530550715.710758929,1254,19
1530550715.723342024,1188,18
1530550715.735922918,1188,18
1530550715.748604056,1254,19
1530550715.761133085,1188,18
1530550715.773749039,1188,18
