ts, Backlog in Bytes, Backlog in packets
1531192952.939210914,850,11
1531192953.044411020,766,9
1531192953.149561190,788,10
1531192953.254731311,694,9
1531192953.359903961,686,9
1531192953.465122597,918,11
1531192953.570289857,624,8
1531192953.675498226,722,9
1531192953.780705916,758,9
1531192953.885822283,636,8
1531192953.990972677,464,6
1531192954.096130324,988,12
1531192954.201349233,862,11
1531192954.306500077,946,11
1531192954.411658580,894,11
1531192954.516874548,682,9
1531192954.622040362,772,10
1531192954.727182505,702,9
1531192954.832347611,0,0
1531192954.937541721,132,2
1531192955.042719380,66,1
1531192955.147901684,878,11
1531192955.253093901,788,10
1531192955.358275650,652,8
1531192955.463521277,792,10
1531192955.568715365,562,7
1531192955.673865615,792,10
1531192955.779009957,812,10
1531192955.884211387,768,10
1531192955.989379313,804,10
1531192956.094565389,620,8
1531192956.199760564,596,8
1531192956.304979333,570,7
1531192956.410145721,600,8
1531192956.515313874,742,9
1531192956.620496364,722,9
1531192956.725631254,948,12
1531192956.830815970,664,8
1531192956.935957218,550,7
1531192957.041180708,1150,13
1531192957.146355832,718,9
1531192957.251545940,964,12
1531192957.356744360,812,10
1531192957.461877718,702,9
1531192957.567066682,800,10
1531192957.672242476,972,12
1531192957.777467958,1008,12
1531192957.882651358,730,9
1531192957.987817806,1020,12
1531192958.093004237,992,12
1531192958.198123214,964,12
1531192958.303276468,1016,12
1531192958.408430480,778,9
1531192958.513618106,914,11
1531192958.618765452,756,10
1531192958.723972312,730,9
1531192958.829149740,674,9
1531192958.934289401,780,10
1531192959.039428651,796,10
1531192959.144639701,678,9
1531192959.249815302,542,7
1531192959.354995590,964,12
1531192959.460172942,730,9
1531192959.565335943,592,8
1531192959.670516525,680,8
1531192959.775715412,868,10
1531192959.880901846,636,8
1531192959.986020410,764,10
1531192960.091196825,792,10
1531192960.196376342,902,11
1531192960.301527431,726,9
1531192960.406700860,788,10
1531192960.511875792,898,11
1531192960.617121001,604,8
1531192960.722274242,788,10
1531192960.827496558,562,7
1531192960.932662105,714,9
1531192961.037775483,498,7
1531192961.142914067,836,10
1531192961.248078096,766,9
1531192961.353276503,738,9
1531192961.458436957,824,10
1531192961.563619544,792,10
1531192961.668808895,784,10
1531192961.774053603,686,9
1531192961.879230504,714,9
1531192961.984403335,534,7
1531192962.089584476,636,8
1531192962.194744482,854,11
1531192962.299913878,974,13
1531192962.405125649,824,10
1531192962.510306861,472,6
1531192962.615495058,964,12
1531192962.720730541,806,9
1531192962.825892653,694,9
1531192962.931059389,862,11
1531192963.036246327,678,9
1531192963.141416756,570,7
1531192963.246571285,628,8
1531192963.351756569,694,9
1531192963.456971806,706,9
1531192963.562138302,792,10
1531192963.667318016,890,11
1531192963.772516669,800,10
1531192963.877656253,906,11
1531192963.982800762,708,10
1531192964.087983236,850,11
1531192964.193189665,824,10
1531192964.298372954,842,11
1531192964.403560936,698,9
1531192964.508772112,992,12
1531192964.613898755,980,12
1531192964.719094555,1106,13
1531192964.824261311,878,11
1531192964.929439591,894,11
1531192965.034604226,798,9
1531192965.139761579,894,11
1531192965.244961977,1056,12
1531192965.350093173,926,11
1531192965.455279270,882,11
1531192965.560456136,1K,13
1531192965.665629192,906,11
1531192965.770788526,868,10
1531192965.876007104,926,11
1531192965.981207014,840,10
1531192966.086383290,702,9
1531192966.191564248,738,9
1531192966.296808668,780,10
1531192966.401984185,366,5
1531192966.507178578,822,11
1531192966.612368664,738,9
1531192966.717524677,808,10
1531192966.822721132,632,8
1531192966.927908735,804,10
1531192967.033099596,808,10
1531192967.138270335,764,10
1531192967.243452112,756,10
1531192967.348686468,878,11
1531192967.453842575,980,12
1531192967.559021838,632,8
1531192967.664242570,602,7
1531192967.769419869,788,10
1531192967.874610690,734,9
1531192967.979806557,648,8
1531192968.084992225,538,7
1531192968.190146996,772,10
